1	5	N	N	6.09094715
1	2415	一	一	3.43718147
1	11	一个	一个	6.95305157
1	13	一九九零年	一九九零年	8.27068329
1	16	一些	一些	6.91228199
1	22	一名	一名	7.20992804
1	24	一周	一周	8.06625271
1	41	一点	一点	6.99629879
1	46	一种	一种	7.49723291
1	49	一线	一线	8.4304409
1	52	一般	一般	8.4304409
1	56	一辆	一辆	8.06625271
1	59	丁香	丁香	8.4304409
1	60	七	七	5.8109026
1	64	万科	万科	6.07705593
1	65	万达	万达	8.27068329
1	67	三	三	5.16436481
1	70	三位	三位	8.4304409
1	78	三叶	三叶	8.4304409
1	2416	三星	三星	5.00955915
1	86	三星电子	三星电子	8.4304409
1	87	三是	三是	8.4304409
1	97	上周	上周	8.27068329
1	101	上海	上海	5.65116787
1	102	上海市	上海市	8.4304409
1	2417	下	下	6.05207825
1	113	不	不	6.2776022
1	114	不仅	不仅	8.06625271
1	133	不过	不过	7.20992804
1	135	与	与	6.43933344
1	140	专家	专家	8.06625271
1	146	世纪	世纪	8.4304409
1	150	业务	业务	7.65346575
1	2418	东京	东京	5.95469666
1	155	东北	东北	8.4304409
1	156	东南	东南	7.83871126
1	158	东方	东方	8.27068329
1	163	两人	两人	8.27068329
1	2419	两名	两名	7.16007471
1	167	两家	两家	8.4304409
1	173	两辆	两辆	8.4304409
1	181	中原	中原	8.27068329
1	182	中国	中国	5.34875584
1	183	中国证监会	中国证监会	7.20992804
1	187	中指	中指	8.4304409
1	0	中新网	中新网	8.55969524
1	197	为	为	4.36483765
1	199	为了	为了	7.088027
1	200	为何	为何	8.4304409
1	202	为此	为此	8.4304409
1	203	主人	主人	5.71537352
1	208	主管	主管	8.4304409
1	209	主要	主要	7.83871126
1	2420	丽江	丽江	6.07705593
1	221	之前	之前	8.27068329
1	228	乒乓球	乒乓球	6.36691046
1	2421	九	九	5.23710775
1	235	九零	九零	8.4304409
1	236	也	也	4.59345913
1	238	买	买	8.06625271
1	249	事发	事发	8.06625271
1	253	事故	事故	7.83871126
1	255	二	二	6.54517651
1	261	二手房	二手房	8.27068329
1	0	二是	二是	8.55969524
1	0	二零零三年	二零零三年	8.55969524
1	266	二零零六年	二零零六年	8.4304409
1	268	于是	于是	8.4304409
1	271	五	五	6.79786682
1	277	亚洲	亚洲	8.4304409
1	280	交易额	交易额	8.4304409
